Model,Activation,Optimizer,Sequence Length,Grad Clipping,Accuracy,F1,Epoch Time (s),,,,,
RNN,Sigmoid,Adam,25,No,0.6701,0.6821,11.6,,,,,
RNN,Sigmoid,Adam,25,Yes,0.6658,0.6843,11.6,,,,,
RNN,Sigmoid,Adam,50,No,0.6456,0.6922,12.8,,,,,
RNN,Sigmoid,Adam,50,Yes,0.6682,0.6905,13.6,,,,,
RNN,Sigmoid,Adam,100,No,0.6348,0.6614,21,,,,,
RNN,Sigmoid,Adam,100,Yes,0.6334,0.5991,21.2,,,,,
RNN,Sigmoid,SGD,25,No,0.501,0.6676,6.8,,,,,
RNN,Sigmoid,SGD,25,Yes,0.501,0.6676,6.6,,,,,
RNN,Sigmoid,SGD,50,No,0.501,0.6676,10.6,,,,,
RNN,Sigmoid,SGD,50,Yes,0.501,0.6676,10.6,,,,,
RNN,Sigmoid,SGD,100,No,0.501,0.6676,18.6,,,,,
RNN,Sigmoid,SGD,100,Yes,0.501,0.6676,18.6,,,,,
RNN,Sigmoid,RMSProp,25,No,0.501,0.6676,8.6,,,,,
RNN,Sigmoid,RMSProp,25,Yes,0.501,0.6676,8.6,,,,,
RNN,Sigmoid,RMSProp,50,No,0.501,0.6676,12.6,,,,,
RNN,Sigmoid,RMSProp,50,Yes,0.501,0.6676,12.6,,,,,
RNN,Sigmoid,RMSProp,100,No,0.501,0.6676,20.2,,,,,
RNN,Sigmoid,RMSProp,100,Yes,0.501,0.6676,20.2,,,,,
RNN,ReLU,Adam,25,No,0.6788,0.7005,9.6,,,,,
RNN,ReLU,Adam,25,Yes,0.6881,0.7051,9.8,,,,,
RNN,ReLU,Adam,50,No,0.6922,0.7244,12.8,,,,,
RNN,ReLU,Adam,50,Yes,0.5314,0.6798,12.8,,,,,
RNN,ReLU,Adam,100,No,0.7308,0.7673,23,,,,,
RNN,ReLU,Adam,100,Yes,0.6328,0.5932,24,,,,,
RNN,ReLU,SGD,25,No,0.5019,0.4013,6.4,,,,,
RNN,ReLU,SGD,25,Yes,0.5103,0.3795,6.6,,,,,
RNN,ReLU,SGD,50,No,0.509,0.4535,9.8,,,,,
RNN,ReLU,SGD,50,Yes,0.5104,0.4501,9.8,,,,,
RNN,ReLU,SGD,100,No,0.5119,0.3722,21,,,,,
RNN,ReLU,SGD,100,Yes,0.5132,0.4048,20.8,,,,,
RNN,ReLU,RMSProp,25,No,0.711,0.7184,8,,,,,
RNN,ReLU,RMSProp,25,Yes,0.7136,0.7153,7.8,,,,,
RNN,ReLU,RMSProp,50,No,0.7586,0.7852,11.6,,,,,
RNN,ReLU,RMSProp,50,Yes,0.716,0.6446,11.6,,,,,
RNN,ReLU,RMSProp,100,No,0.81,0.8115,23,,,,,
RNN,ReLU,RMSProp,100,Yes,0.5738,0.6608,22.8,,,,,
RNN,Tanh,Adam,25,No,0.6534,0.6497,9,,,,,
RNN,Tanh,Adam,25,Yes,0.6545,0.6632,9,,,,,
RNN,Tanh,Adam,50,No,0.6139,0.6782,12.6,,,,,
RNN,Tanh,Adam,50,Yes,0.6969,0.7071,13,,,,,
RNN,Tanh,Adam,100,No,0.6408,0.6905,19.6,,,,,
RNN,Tanh,Adam,100,Yes,0.6851,0.7361,20.8,,,,,
RNN,Tanh,SGD,25,No,0.6074,0.5665,6.6,,,,,
RNN,Tanh,SGD,25,Yes,0.6066,0.5662,6.6,,,,,
RNN,Tanh,SGD,50,No,0.59,0.497,10.4,,,,,
RNN,Tanh,SGD,50,Yes,0.5895,0.494,10.6,,,,,
RNN,Tanh,SGD,100,No,0.5664,0.4206,17.8,,,,,
RNN,Tanh,SGD,100,Yes,0.5655,0.4149,17.8,,,,,
RNN,Tanh,RMSProp,25,No,0.6232,0.6186,8.6,,,,,
RNN,Tanh,RMSProp,25,Yes,0.6432,0.632,8.6,,,,,
RNN,Tanh,RMSProp,50,No,0.7024,0.7301,11.8,,,,,
RNN,Tanh,RMSProp,50,Yes,0.7251,0.7303,12,,,,,
RNN,Tanh,RMSProp,100,No,0.7086,0.7232,19.6,,,,,
RNN,Tanh,RMSProp,100,Yes,0.7269,0.7273,19.8,,,,,
LSTM,Sigmoid,Adam,25,No,0.7083,0.7212,12.8,,,,,
LSTM,Sigmoid,Adam,25,Yes,0.7083,0.7212,12.8,,,,,
LSTM,Sigmoid,Adam,50,No,0.7542,0.7684,20.2,,,,,
LSTM,Sigmoid,Adam,50,Yes,0.7542,0.7684,20,,,,,
LSTM,Sigmoid,Adam,100,No,0.7946,0.8183,33.8,,,,,
LSTM,Sigmoid,Adam,100,Yes,0.7928,0.8174,34,,,,,
LSTM,Sigmoid,SGD,25,No,0.501,0.6676,9.6,,,,,
LSTM,Sigmoid,SGD,25,Yes,0.501,0.6676,9.6,,,,,
LSTM,Sigmoid,SGD,50,No,0.501,0.6676,16.8,,,,,
LSTM,Sigmoid,SGD,50,Yes,0.501,0.6676,17.6,,,,,
LSTM,Sigmoid,SGD,100,No,0.501,0.6676,30.6,,,,,
LSTM,Sigmoid,SGD,100,Yes,0.501,0.6676,31,,,,,
LSTM,Sigmoid,RMSProp,25,No,0.501,0.6676,12,,,,,
LSTM,Sigmoid,RMSProp,25,Yes,0.501,0.6676,12,,,,,
LSTM,Sigmoid,RMSProp,50,No,0.501,0.6676,18.8,,,,,
LSTM,Sigmoid,RMSProp,50,Yes,0.501,0.6676,18.8,,,,,
LSTM,Sigmoid,RMSProp,100,No,0.501,0.6676,34,,,,,
LSTM,Sigmoid,RMSProp,100,Yes,0.501,0.6676,34.2,,,,,
LSTM,ReLU,Adam,25,No,0.6918,0.7097,14,,,,,
